BloodID,Consensus
1865,0
1862,1
1872,1
1880,0
1881,1
1882,0
1883,1
1884,0
1885,0
1886,1
1863,1
1864,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
162,1
164,1
168,1
171,1
163,0
165,0
166,1
169,0
170,0
167,1
2717,2
44,1
,0
,0
,0
,0
,0
,0
205,0
206,0
209,0
2797,0
2798,0
2799,0
2800,0
2796,0
2812,0
2815,0
2816,0
2821,0
2822,0
2825,0
2828,0
2835,0
2837,0
2819,0
2820,0
2829,0
2830,0
2832,0
2833,0
2834,0
2839,0
2885,0
2886,0
2887,0
2888,0
2889,0
135,0
1887,1
1898,1
1932,1
1934,1
1889,1
1892,1
1893,0
1899,1
1933,1
1935,0
1888,0
1890,1
1891,0
1895,1
1896,1
1897,0
1901,1
1902,0
1903,0
1905,1
1907,0
1911,1
1914,0
1915,0
1918,0
1919,1
1921,0
1922,0
1900,0
1910,1
1917,0
1924,0
1925,1
1926,1
1927,1
1928,1
1931,0
2854,0
2855,0
2856,1
2858,1
2860,1
2862,0
2863,0
2864,1
2861,0
2865,0
2867,0
2868,1
2870,0
2872,0
2873,1
2874,0
2875,0
2876,0
2877,0
2878,1
2879,0
2883,1
2884,1
3059,1
3047,0
3051,0
3053,0
3056,0
3063,1
3065,0
3067,0
3068,1
3070,0
3071,0
3072,0
3073,0
3075,0
3077,0
3078,0
3079,0
3080,1
3082,0
3083,0
3085,0
3088,1
3089,0
3252,1
3256,1
3263,0
3264,1
3262,0
3266,1
3253,1
3275,1
3261,0
3268,1
3271,0
3272,1
3274,0
3276,1
3700,1
3702,0
3409,0
3416,0
3419,0
3424,0
3431,0
3430,0
3704,0
3705,0
3708,1
3707,0
3706,0
3715,0
3444,0
3717,1
3711,0
3713,0
3714,0
3716,0
3712,0
3709,0
3724,1
3447,1
3722,0
3719,0
3718,0
3721,0
3729,1
3727,0
3728,0
3725,0
3731,0
3454,0
3732,0
3455,0
3456,0
3458,0
3733,0
3460,0
3737,0
3734,0
3461,0
3735,1
3738,0
3463,0
3478,1
3792,0
3791,0
3481,0
3484,0
3480,0
3794,0
3483,1
3482,1
3793,0
3487,0
3488,0
3490,1
3491,0
3796,1
3795,0
3498,0
3499,0
3797,1
3501,1
