Field1,Objective,BloodID,PlateID,CqGAPDH,U_PlateID,DiffGAPDH,EffGAPDH,CqTelomere,DiffTelomere,EffTelomere,RTL,ID,Whodunnit,BirdID,LayYear,RightTarsus,LeftTarsus,BodyMass,EyeColour,Ageclass,FieldPeriodID,OccasionID,OccasionDate,BreedGroupID,TerritoryID,Status,SexEstimate,MaxOfMaxOfSeenDate
1,1,1,1,7.523333333,1_1,0.091,2.097,9.652,0.279,1.761,0.0000462,1,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
2,1,2,1,10.934,1_1,0.22,2.112666667,13.448,0.433,1.769666667,0.0000612,2,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
3,1,3,1,14.40733333,1_1,0.189,2.068,18.35233333,0.349,1.806333333,0.0000585,3,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
4,1,4,1,17.70633333,1_1,0.126,2.035,22.002,0.35,1.794,0.0000877,4,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
5,1,6,1,24.34,1_1,0.183,1.988333333,26.28666667,1.073,1.738,0.001164148,5,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
6,1,2403,1,23.707,1_1,0.365,1.987,12.83433333,0.559,1.729666667,1.265623773,6,EB,922,1994,25.9,25.4,18.0,,A,22,668,04/07/1997,15,1,BrM,1,11/09/1999
7,1,2404,1,23.94666667,1_1,0.226,1.863,13.4535,1.49,1.656333333,1.069428329,7,EB,1162,1996,26.3,26.4,15.5,,SA,22,672,05/07/1997,36,40,ABX,1,07/02/1998
8,1,2511,1,23.279,1_1,0.25,1.886333333,12.24866667,0.599,1.724666667,1.413747922,8,EB,1033,1996,25.0,25.4,13.6,,A,22,669,04/07/1997,15,1,H,0,14/08/1997
9,1,2522,1,23.56966667,1_1,0.346,1.897,11.72633333,0.392,1.687333333,2.089626597,9,EB,500,1991,24.5,24.7,16.1,,A,22,672,05/07/1997,36,40,BrF,0,23/06/1998
10,1,2544,1,23.61533333,1_1,0.812,1.978666667,12.09533333,0.657,1.702333333,1.713170565,10,EB,1161,1996,25.5,25.3,15.0,,SA,22,672,05/07/1997,2302,24,SEEN1,0,05/07/2001
10,1,2544,1,23.61533333,1_1,0.812,1.978666667,12.09533333,0.657,1.702333333,1.713170565,10,EB,1161,1996,25.5,25.3,15.0,,SA,22,672,05/07/1997,62,76,SEEN1,0,05/07/2001
11,1,2577,1,23.641,1_1,0.06,1.898333333,12.89666667,0.122,1.722666667,1.235634559,11,EB,911,1994,27.1,26.8,16.2,,A,22,670,05/07/1997,2302,24,SEEN2,1,08/09/2010
12,1,1,10,7.339666667,1_10,0.136,2.118666667,10.82066667,0.599,1.708666667,0.0000197,12,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
13,1,2,10,10.57666667,1_10,0.15,1.987666667,14.52433333,0.351,1.733666667,0.0000754,13,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
14,1,3,10,14.13,1_10,0.043,2.092333333,19.18033333,0.337,1.761,0.0000365,14,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
15,1,4,10,17.71,1_10,0.427,2.091666667,22.92833333,0.286,1.764,0.0000607,15,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
16,1,5,10,21.07333333,1_10,0.132,2.009333333,26.844,26.866,1.483333333,0.000738938,16,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
17,1,6,10,24.20466667,1_10,0.011,1.992,30.41933333,0.06,1.753666667,0.000116433,17,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
18,1,2571,10,23.54233333,1_10,0.034,1.878,12.782,0.58,1.672,1.432653723,18,EB,1194,1996,25.6,25.5,15.8,,SA,22,704,22/07/1997,114,168,ABX,1,04/07/1998
19,1,2575,10,23.72466667,1_10,0.276,1.905666667,13.01733333,0.172,1.681,1.419670162,19,EB,1195,1996,24.1,24.2,14.5,,SA,22,707,23/07/1997,72,94,H,0,07/09/2010
20,1,2576,10,23.28433333,1_10,0.17,1.847,12.70333333,0.309,1.7,1.339551308,20,EB,951,1995,,,,,A,22,708,23/07/1997,69,88,BrF,0,21/07/2002
21,1,2578,10,23.77266667,1_10,0.644,1.871,12.64733333,0.184,1.661,1.75610155,21,EB,1196,1996,26.6,26.6,17.3,,A,22,708,23/07/1997,69,88,BrM,1,04/09/2009
22,1,2579,10,23.92933333,1_10,0.379,1.875,13.18266667,0.33,1.690333333,1.514939763,22,EB,1041,1995,27.4,27,18.0,,A,22,707,23/07/1997,64,80,BrM,1,18/01/1999
23,1,2580,10,23.49466667,1_10,0.226,1.68,12.06666667,1.152,1.55,1.848171248,23,EB,1197,1996,24.9,25,13.7,,A,22,711,24/07/1997,64,80,ABX,0,18/02/1998
24,1,2582,10,24.25666667,1_10,0.065,1.941666667,13.176,0.447,1.712333333,1.885289373,24,EB,828,1994,27.2,26.9,16.8,,A,22,709,23/07/1997,43,51,ABX,1,16/09/1998
25,1,1,12,7.669666667,1_12,0.039,2.058,11.375,0.54,1.715666667,0.0000316,25,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
26,1,2,12,11.155,1_12,0.296,2.098,15.25866667,0.263,1.738666667,0.0000368,26,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
27,1,3,12,14.592,1_12,0.099,2.023333333,19.75633333,0.319,1.725333333,0.0000591,27,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
28,1,4,12,18.10733333,1_12,0.277,1.960666667,23.42133333,0.349,1.743333333,0.000109299,28,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
29,1,5,12,21.52466667,1_12,0.238,1.997,27.2375,27.305,1.499333333,0.000723089,29,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
